,League,Season,Home_score,Away_score,Win,OT,Home_p,Away_p,URL
0,NBA,2017/2018,85.0,108.0,0.0,0.0,2.55,1.68,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-golden-state-warriors-QoC4sAGp/
1,NBA,2017/2018,102.0,110.0,0.0,0.0,2.35,1.75,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-golden-state-warriors-AygzaxnI/
2,NBA,2017/2018,122.0,103.0,1.0,0.0,1.23,5.8,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-cleveland-cavaliers-WpfWaIWB/
3,NBA,2017/2018,124.0,114.0,1.0,1.0,1.14,8.16,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-cleveland-cavaliers-xOfS0bH5/
4,NBA,2017/2018,92.0,101.0,0.0,0.0,3.5,1.4,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-WnHbBvHk/
5,NBA,2017/2018,79.0,87.0,0.0,0.0,1.75,2.31,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-zwgmmRv8/
6,NBA,2017/2018,115.0,86.0,1.0,0.0,1.15,8.6,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-fPfCQ1oq/
7,NBA,2017/2018,109.0,99.0,1.0,0.0,1.34,3.95,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-bRtjuNvg/
8,NBA,2017/2018,98.0,94.0,1.0,0.0,2.05,1.99,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-KO5x8SrK/
9,NBA,2017/2018,96.0,83.0,1.0,0.0,2.04,2.13,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-j9gaPs46/
10,NBA,2017/2018,92.0,95.0,0.0,0.0,1.29,4.65,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-x2JYiEgq/
11,NBA,2017/2018,111.0,102.0,1.0,0.0,1.36,3.85,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-67xMF4Yq/
12,NBA,2017/2018,126.0,85.0,1.0,0.0,1.33,4.1,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-houston-rockets-KMW6dfoS/
13,NBA,2017/2018,116.0,86.0,1.0,0.0,1.37,3.6,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-boston-celtics-4bjfKpQS/
14,NBA,2017/2018,127.0,105.0,1.0,0.0,1.87,2.14,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-tWX2czWL/
15,NBA,2017/2018,107.0,94.0,1.0,0.0,2.0,2.0,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-nNekLQAM/
16,NBA,2017/2018,106.0,119.0,0.0,0.0,1.85,2.2,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-golden-state-warriors-p4vfad19/
17,NBA,2017/2018,108.0,83.0,1.0,0.0,2.05,1.93,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-cleveland-cavaliers-8WdoM6eG/
18,NBA,2017/2018,114.0,112.0,1.0,0.0,1.9,2.1,https://www.oddsportal.com/basketball/usa/nba-2017-2018/boston-celtics-philadelphia-76ers-bZK8ZYFQ/
19,NBA,2017/2018,113.0,104.0,1.0,0.0,1.14,8.6,https://www.oddsportal.com/basketball/usa/nba-2017-2018/golden-state-warriors-new-orleans-pelicans-renlwW5J/
20,NBA,2017/2018,112.0,102.0,1.0,0.0,1.13,8.25,https://www.oddsportal.com/basketball/usa/nba-2017-2018/houston-rockets-utah-jazz-Q942gje8/
21,NBA,2017/2018,128.0,93.0,1.0,0.0,1.53,2.9,https://www.oddsportal.com/basketball/usa/nba-2017-2018/cleveland-cavaliers-toronto-raptors-EqE2Udd5/
